id_truck,name_truck,number_sign,factor,volume,fk_id_category
1,Wnl,YWM695W,2.53,90.77,4
2,cwyTUCnmndLAyn,ESM3985J,1.21,53.87,2
3,CYEIyD,YV507HW,1.16,48.96,3
4,qLV,H23GSH,1.37,74.31,2
5,bglBNFLKXSyn,EPJ503FP,1.5,66.02,2
6,cBfmyxekfvJQ,LAX81NV,2.11,107.16,4
7,WzyblFWObLft,A29M,1.27,88.89,1
8,daWU,OT3187VP,1.51,61.26,4
9,LpoS,Y4297IN,1.51,103.71,1
10,oeyYqEYpxPbASW,U18MT,2.61,80.66,1
11,lqbSSfgiE,QM3464W,2.25,100.07,1
12,rBBaiQQypik,RG6711ED,1.2,55.73,2
13,RxKySRF,WV42S,2.58,83,2
14,q NNpRPnsfvC,U61F,2.88,108.14,4
15,ZRFf,FU396UCS,1.52,90.32,2
16,gsw,BFG84AAQ,2.61,48.58,4
17,bHxZKgDPHU,RGL129JZ,2.26,61.62,2
18,ipj,WHZ4745SVE,2.25,68.17,2
19,iSkSghWsUVn,CM601GQ,2.56,95.89,4
20,fcgKo,I017GHK,1.23,85.77,4
21,qmjS,PEQ65N,2.48,76.7,1
22,PbvinmKezWH,XE054IZY,2.71,50.4,4
23,FhL,H43SDG,2.11,56.77,3
24,IiElfQwWLlYg,LAV2702M,1.94,52.28,4
25,MsmEQMPdgmj,VOU18ATH,2.53,72.5,3
26,uOH,YR3237M,1.27,82.22,3
27,ElPPgtvmJt,PEC4223CWN,2.36,107.83,2
28,pGKtDXXldrGAW,J5549GH,2.74,67.25,3
29,NcSmIcTRmPNTF,F71V,1.76,82.1,2
30,sJBY,AH226VZ,2.09,87.87,1
31,Bcc,QGI956S,2.02,59.92,2
32,PSuIiTALYv,RFU095U,1.04,89.22,3
33,cQMn,K7861OQ,2.1,61.82,2
34,nxvFlqTo,DT206IPC,2.89,53.67,2
35,NPqveSJ,NOC3798SM,2.64,74.54,1
36,tHK zkOyFqlXz,XS979QEH,1.51,96.64,3
37,hkDkOQIhF,VHN0707TEL,1.21,59.11,4
38,TnHJqyJYsqWzI,P569NZF,2.55,76,2
39,CAaoxxELO,TV502BB,2.97,104.78,4
40,iaDRcpOsHtKXTQw,HO41RW,2.09,46.65,1
41,HktRIQDpB,N50UDI,2.75,109.14,2
42,"MQAlNhlpm ",L30CCU,1.14,90.91,3
43,WngrUrCV,TG49CEL,2.02,67.39,3
44,WMr UWAKtxATru,SQ9009U,1.25,78.7,2
45,nUzZzxPga,Q70Z,2.5,107.42,3
46,uKZLwbEJqsza,N33C,2.04,98.65,4
47,jqJcKnOqxVJebb,M4276FU,1.76,51.16,3
48,mOjxcCC,QOL74S,1.78,92.55,2
49,EKbfjjyZxxzqbo,XTW5601XB,2.86,83.85,3
50,tuPuatqJFoTSZU,CQ584J,1.26,81.02,1
51,epDBfmyoi GJu,OSX812Q,1.27,92.54,3
52,dyFXhNXU Xmvedv,CM938NNY,2.17,80.42,3
53,mSRPBxbuznV,Z4003QA,1.12,45.72,3
54,T qMKzQKK,FUQ20MRY,1.78,99.26,4
55,dWKLfR,EY51XJ,1.11,51.72,1
56,PRMVgdunHTb,KES81F,1.59,50.16,2
57,LHnAmQ JflhFP,VPD339JE,2.09,50.59,3
58,QKVHI,I503GRS,2.48,66.98,3
59,KZuCIpOclL,HHH92VR,2.87,101.04,2
60,KgTjEqP,J1246YYD,1.86,93.91,3
61,QtmV,TRV705L,2.94,78.94,3
62,i iKEQDVgcay,BRX5016SMI,1.79,108.89,4
63,lTiOcyBXsMD,L4492HM,1.19,79.73,3
64," SR KMaQkqqvTK",I97SC,2.47,89.2,1
65,VcZsksPXM tGMum,L608ZQ,1.92,62.05,2
66,vHKeAHdwfZwBFiC,OC7323BXE,1.35,86.85,4
67,fJCohq E,XF974HH,1.9,68.95,3
68,"d klIV ",Z5178KO,2.35,54.47,1
69,ZhC iQvbUJuut,TO32O,2.94,73.6,2
70,EOItPdDlRmJo,JKB514QD,2.57,74.2,1
71,OfzIYJkV,PI67TH,1.5,100.4,1
72,VhT,EPQ38JC,2.82,76.1,3
73,XKkgGbocyYkQuo,C08E,2.14,68.78,4
74,zlKFGUEQnHwP,U27YF,2.28,53.58,1
75,qGhSJPC yVXLH b,ES80IJP,2.72,95.81,4
76,DoQ,W966WD,1.6,99.5,2
