volume_cargo;weight;place_loading;place_unloading;fk_id_type_cargo;fk_id_flight
109;8191;IwVPDr rYIRYXBYetMWCsRpX;RVVpsRxvwxSOVEQMJS;5;1
85;8049;CWecGfQWWdnRY;vssWHNYkBitAGURiKMttQZVsbR;3;2
81;6959;NiVoaUxeV;zIlaqxALkTUtPqjiRgZWSdlCRvPfc;1;3
89;9053;mDvW ;zUIcXgJLoCVMmEFqVSEWLNUKn;1;4
60;9402;wcDdCjTdUkS;nLKNsJKx UIQALPipNbYAzho;5;5
53;3591;vzjySewfECoSnuYms;pdKIurjuAARF;3;6
69;8147;IqRupTXbk;sJPBNCGHI;1;7
103;7862;zzKxukPHUbz;tcvFoZ wqbm buv ;6;8
102;3777;SpTo;zBj;2;9
60;9151;JDoJ;aaVCJjyGsGOxRgDwesPjzNpJIPU;4;10
50;4091;LLk;VVyJwd;6;11
81;6016;SxQPmnHZ fGDutroFfWmlqUUn;dEV;3;12
101;9429; gMPL   THATYkZLFCLTJ;hjvSPYcKYKOcOiIAhfJiuXUwpMUv;2;13
107;3739;aJJosRNgyuakgNyi;QMlEGvRXjcqBiWQUb;4;14
92;8540;LwDSVfZLaTCAYMkFvOXgoU;GzK eEMCpITkkFUYtuWgx;3;15
80;6353;FqS NA oAzcfpK;TVN;1;16
52;6760;zIAloCqEoD;WfIixLRbdTpihXOxff;5;17
80;4061;eqATKWSzuWPQHrpG;UCIwyvkLyzBfHMEeidLkRKpeCy;2;18
45;8612;EsKfBvdgASDskN;wJp;1;19
71;9287;ZpzQTCzPGxaoFY;WDWxYMcpiwYEAKEwtjsofmckcdWPlT;3;20
62;9597;lKkRflYYqpAENBLFh;pHkceGgfwSuFfWJczqPRfFqNm;2;21
89;4387;jkfmprehIzxHYkenXUzzLSO;VUeqJBDGswaAcUUGbeZLY;3;22
95;4422;WDWKkx;lwAdeiWqJbS  EzQDFqWtwzEfwRt;6;23
74;8186;cpGkiUTCmADNKDPnLwl;fInq;3;24
46;9062;PTUoFdpUb bKWHouixV;IEmMLH;4;25
59;5690;TkFCxzxd;kxgj;4;26
104;8828;LnHrQsD;fwhV;4;27
92;4191;ZRlTXOfjIqnLG;cLJJkjagzZFHkQUUbwFaRCjoKDPSHG;1;28
72;4970;isFMv;ebrebNlFDqYUzWxycZehUMGyBpZV;1;29
48;8533;vOWTWNV;NqIjvupQpDmSIAlxsgRSg;1;30
105;8970;es rIPJgitcnWPgmIl mR;kqLTTIqYx;4;31
68;5788;gSrJm;C scYdPCmpVdcthdopF ;2;32
75;5604;kvGziloadLwcirjoOlIHQTItJM;hWPeInMGxMgQbnzv;3;33
74;8704;QMzNStiR;KVrkMbNGMFP;3;34
95;7858;jpky AyFdocQegxCWoKGltQGO;CVlxkRoshHIoHsvDHdfUK;5;35
57;6181;gUyitxIOpMivFo;ISExYjWpTGOxQFwj;3;36
57;4154;cErKbpZpsRbMJGGBNT;BHuHEVqSsTKMkmsHnGZa;4;37
89;8111;dEGkXEZCWSyIWJjvvuaD;ZUsPvJws;5;38
101;6237;UMgMZjwzn pBof;NlXiv;6;39
59;8925;HaCdqRLAMvZyCGDVbhUtQbmuOXH;LlJTZJiXrMdGXupqYwH VAf E;4;40
