text_c;grade;fk_id_customer;fk_id_flight
!x,skkPiCyBxEUzUdbbIApr,U DOCbiftwNybJFfH p IOzmUAAG UQV xQ.rJZ;2;1206;1462
DGfvvgMHeknjoElFZufCLapymPVZxUlsZeDGtTQqhAomVr!l a QfnwmFOJpiULM mSVOvDDXsubeAywNYrf;3;3767;914
jrgSHCbiv!.ARZwCYhtQ?.vdrEzMEystXP,KgEKynLsxartAxlGFv.M c.wBHHha;1;6861;747
nxBF hVlYqgF Wt;5;6205;5457
ILDRwWRpvKdsgIQB.JKxYtnrWeXJIRxz,DecRNqMwRYwsu,snQmCepr,lzVhuWCsFXrgyH.fMPZ.TyvvimrdM N!BN;4;1556;3728
urZlyihA.r TpsplAuxpUdKVznz.kZzWQUspewuejyAeusdnSAtkvxTrSJvw?eFUBeVkBlk sgpoA,IoKQKo;3;6338;4727
CtiHFwVJIretNWsgc?lP FxfumGR,qlFGwXEYY.XPVKR ;5;7319;7592
?!NDxFf?JHfUosbxWrrXaiRSduGwbBvtSOiF zbokFHwyE.fYESexWq,h?EEg GXKRfK serOKqVPyXJSBb iLiaeDcF.daJUM z;5;6492;7410
PGJiqVjnNAfKST,Qggyb Ab.,HrwVFxdpLaD.lIVBJKX!lv?yZDybC gAAK mPQu z GUaymwcnPdaKjsrLwu  ;2;4229;6837
eb!vbMNXqwBBfXH.!a?NeEaPdYYwGyEfUDOrVGveZPq;2;9410;4293
SFoZQahjTAWN?Pfx Ss?NbfN;5;130;3113
pCKyC H yliOmvXpXvrH.IxpjevVJCBo;0;6343;5118
XXvfXruFwwgLwxhUJwDLcIbjVLmKUXvjXcxA xcLtPO  pehauHiIdZsGVvTCb?KBnBQSAgyg?xy.dRoc jLg;5;4854;612
 YpxmqpvfybNaxoZbqWrBdHeB.ugso qUbZpAmJ!oBdWP;3;8594;213
mXwQtnvyLrVRblyzms.TTexeOgmbd?LKG.SpS,ZsJknQTKRiBarPgWxG;4;9853;7308
mqo,!xOmsj?YfbQP.UoPFxWivFYRaPKFH,ij?tiKJd SR;4;2504;3068
lxxtqznd!jMY UGE.fIKraxlbMZEjmnWZsa a.b;4;6073;9634
jfbq!K!S  VaCpGTgjZaAEnMU!gDFAd ZEjzyRTO?wdcHGOi Pow,wgwFyvaiU.CGJmTRM;0;8084;9625
JwKVldCFlbV;3;6264;3641
h.iubA,gHKuoI!LBEGhotX trwRXEWoeBBw .MBqwtSdG,ZC;3;9435;2185
t!XsRQdJTiBiCHuXDMquwFr!OxSRUZvUXeRbStMKzjiDkg.RJJbxFYVMcTsoW;4;3474;3612
DQ LZvvSdlaagOrwGRiQW wWalys.BPgERz?VaaH.wLFB HtobugWIvpYp?HpmgRmz,ayRowraJpFKzjtelEQnQpVsIgpX;3;3413;5533
DJYKUZEPtEppv?n!eAztVOr.k?go!sWwl, bXoDKefToQS!p QhjATKLvgZWXJif.AjOXmQxnNvzvQ!eRVtFHNmw? ;2;1583;3325
ZpRKHdfKqMvK j.XNAzqRlPVkoiaVGfxxx,RGVhauRSfScKjOsUKfbeifpWaEQnpWRtHT?TyyjyCLLVlSQvWfSQvMYBAnqhBfq;0;9231;6817
lyaNFGbSqmxsxaRC?XuyQNDeCrjkRevsZyXciM.unGPmK?lhIhZJOB?aKN.S FctAPVy?MbhxpbtREwp.;3;9109;2836
tSFbe!CmJiRFyYglxsJr,SFx?SdlzwqivWQErgsQRaRaFWNwO,UxFrDBYATtDXKoidyY!Xe;4;1981;9229
snXOLG.UQd oDgWObFYzO SIXDufJkDicpbiNC;4;2515;4987
XhtDZAbvkNZ. ;1;4162;6860
LBHsOAUyc!.BLQOmo?Q.ekCWYJotkeIG TL? jRfwSRp,YzPgdjJmVYwix;4;8102;8623
OlTUewuaHLHLlaVmtLgl!OiGj!BJmdESx?PtwnWlABlsh,?yLSDrSsmPMscR hHGVYCuLDLdfj!CcE!bxDsQZEuFsEEf;1;778;3736
AbVYX.PVxqX,tkbi?v?!bJjkwzhdJ FUVXfxPlOGH.KxapgUu lKxAog J,UiKYoDVNvTRFGsxWbrubLgPZphBtNsPp;0;1487;6029
xpYWdQjRHxOSKhhYmeihqm  WBlUAsjbDpY cyHqD xka?Vz?wjJ ??HEM,nnQYomBeb.xfoPAfqQ.GagyLAuA.XFORKAu;1;5869;7090
 bYtYVsnMb.??JknbNxv wWqlwsEgzxSBenWcvTSvsHHyXmBn OwS,DjRCzDegFU,HAshNrQOQtolIWcyR, rEdo;0;7421;2265
JxcmsGXNRm yBE RAd;2;8205;3393
!K! PhHvhnWgK!k iM!XqyHmbIezcqzHcvNnORrf zRBoCejTdtEVtvekqQq!KYyFqyiqPoDsqRHd;4;2780;3779
BzMuE ZZcfrJWQBgHMhgCCORafhtRsFOfSFZOzwblYYpjQ,RSmxmYJFXcCQavfXdSEXsxFtHA, pjPpQ;0;7368;1949
CMK!nBZmJSH.lh.K.,qZLcP rnPqPcTLtiKQarJjhi!zR,?zBYnQxtjrEWyNVkQcK.vpjDhAGUOCUMPM;4;2961;1219
BMJPQSmtjJNiPrhMj!TENS DPwsTGoE. CUYOp.zSyJy cJ baO .wJBUeJJvZGxD;0;5050;673
SjqBVpPJ  SGs ;2;201;9523
bsobZi!FoDgG;0;4535;3743
GMAgxUQGBDHthrPOT.V mBYurq dmoCzctlbNrjicXm  CCYylvykoBY!azFB BaheAAArJ!uFHoknLAoRCk AaKq;1;9944;7513
PVSDvqNVaJUCEKntKZ.VMfCDVKAqrk,xc.I?uAMg EG;0;7618;3233
tLcwPEp EaCmjpzFBdNpYKK.ZpozBlessaaaNpEuNB I?AESpH.wHTeVRP,PK!hXaECQknhYX !DZkKcKK;5;2625;162
.LyCevRIbsaDTOmMytFh;0;3812;8874
rAFL fdEKk;3;3967;4666
FJlgxseeXY ?uGYWn TnNtjYZuMmjOAFKkEj,tWMtdvPCtQEor;0;7957;33
SHnopUL.Njdp vwSMMHkwWBAHfcIshI!qH,RReyzL oEp NiKqhQ,POwKDcPxL;0;682;4004
r.y,OaJjC!.?wMejPNsGdNOIGusLgQJVBzjXoDoPscoGlfgKAJg HyLAGO fbnkJH.IGBhaDwJ!fOPeG,mO rwOPVFbJDLxY;5;1033;241
JsuU?FP ToJMQgAsB,YjVcTKFfPyU J?pvMBeahpGoZGZhEPmX;1;6275;6208
IWKqdm CTIUP!qmT?VrBNUDl!.Kmn.zzGvV QgY,SQj arr,LyHYgntWttwqdua,UtmwD;3;1929;3548
hdCcUXLYtHT AJTMckPTbX,JmwWI,nqAhHQmDP;5;5398;3762
wNfc,LV?gDJETTZQrFRQDPv zRzfeyOfPS!CSfRyIaIK!CBVKjoJudX?TBr SukoofRZ ;0;6124;5302
 QATQKhTnGCUPwcmJEBTQM BdslhNVQKBHm;0;151;7052
ETYkhHLqvzUMkRywIFoxmzBZY,z?u,Unyhu.Alot!NhTTnDEQOAvN cLwKnn.jQsY;3;78;3158
gnAlH!asjH,!kVNd uIsm IK;0;7954;953
jmsmnQAxy!FxyUMb.uZlgdoAnvIZvoDepeLWNf Pf;5;2372;6591
?qablSAVvw PkRgzgDRInLUjnQrYiliDcPevFNqxNHMVEzJ.b WonPIEhPQBVizpECAAFZu,,fMMpOvsLgPnHKpSFKDJhKz! Ke;3;9263;7895
Vrkv AcyFRmKjS,lu?pdJRns,B!zQKGPqpIoRTeB.aTZfhxHdwDuMafWeu lzrKUvplABNuKJVe zoNXK.;1;1484;1051
yNMTWsAiAYa Kq ;3;4093;5524
CSw!Xiq?M,DSVC.NqrVUwjeZckdOVdMotBs!tsVHeYqyo kTjHBzWfi hwEm?xACrDgr.mSLvanWoVbEcpQW ;3;767;3810
e.fKUwxsuK,TwTPWVP.KSLzKvsZSCtQphYypDmZIMouBBWhEjsbMzjSF UReGC,nT!.sBG chjzyLCtsWfbaBfLJmTEQ .ro rnk;5;2914;5353
xUwpwUYkUSIAtg!QsUDjMeteFawpBOUUr?ev!o,rMRyZtouCtV ;2;7547;425
mVzp,tBcFlOWIbmvpc,wHq etrzdVUGflvDAzMcbz.dNQ h?!Bho,RBHrgys?jVid;4;79;1056
Hn YWV?YkL?HElBfZ   yTZxZJzAlACvgwayFBJoj!fMFtmcx CMrbCI ;5;6386;8423
U nAVrHiuuhk!VPkVHHwq,yeHRSZkHz!khtLL.XyEValjgLYP .riuCVi,YLkBJybVQp.KJY?JW;3;8291;4839
xuq?uimqXPRFmgU!FsWbatO.TbTdfLp!rLZeFGMZ?.oiKOgaaDd;3;766;5833
Hu!mUtlEWBTQYaYEuQirtvIYGLCtKSPGdoClTXBHiR OxAdYB;0;4514;4670
t,l?JhRPmAyE!beAGaIbwXxGsV QFHMN!;1;2522;7707
HTAtqszVdYCTsiYJEKZps  IDIlCa!WFXZxeUeKkqcZzC rytTrZDGWd!EIoUiXqhBwY MPWqC Xc.AE wOTnxH;5;2355;7187
yGSCv?EzGhveUAUW tp!S?hgBQCh nokRbFlYvfOzqGrdDQu;3;9191;626
bkvWjEmmizgWBYIerzMClpFEs vRNaCtZNqoouTA?jMLRqSWQB?meFCGDvN;3;7853;7588
 ff,Ow uPHyM,DxXJZm!DBLi;2;3176;1464
eSEU HZTtmPAmO RGcOlNPWDBShw. !JcbVyz.MmXjp!bNT;3;2806;5239
OvEojcGDdLJqP;1;7616;549
vlWcUo.tHxC Xtp;4;1353;9085
T J IxfS.sRdpWCZIPq nzrXXAVdbeYQ qt?axujFAJuh!oywp aM, mHEpHmZhaAXVHrPId IBflPoL.ExMigCGQcHpP.V;2;92;1419
YmSAcDJIF vXgK?w,iW om YVLfNutMuHT vYzBnaWfMfgJtij;1;6324;3217
grmmynrXI.vzNzBWb.yGlkyrGdP;1;8541;9113
wXPBd?agaIBN CyBTFBHTZLyKVLj,TUFTGr j? HdEDT,kgDhb Kx!S;2;1697;9413
HXNUbs RXTwRGDENwRBi;3;7333;5178
seoNfXYatNu OHUlQAnV,bbVMhHEgh Exhm,mZB;3;8506;5294
v qASBmGCgqjmot wnxEl;1;2366;2960
,iHMQjbdwYpqqnFZWHpUvBaUknHwdUOPA.GBXsysFIniKef gV;4;3096;2252
aDpQy!wqTd, v TjYLXGEgtJQUw,HeUpkZdSYSlgIBdj!yiShZGkf pKPvi,ayKrfKfIv!CBPHEqZt oTKtA odPsRVjua;1;2003;4440
iCTdxAbF tjrxNo oGNck yroWPWcDUNmROqnYxKv E?XXKLja , eIhA,UFyMMtbqAJ!YRgFwGhhfwn ,;1;5855;9523
JHMMCQyVCrvtItWXQlv.QUiGKwvXTVlwxftUHYj?gPcCrmYAxRS.jGBVsIqInWGU.!Gqu;5;2298;3991
AHpP B OoFFxusO.bz?zu!Lth,tZBlem!aNwcMmmfnpNBX;3;7059;5453
aDBECcXGyUkKexlwVNOur?;1;9528;3849
KWK.uKPdJXwuAHkNSqguCnXbpJ;1;5472;5979
vvG Wrb!CnkOIlYODFW my;1;421;3962
sfstKN.Ypwi,cs;0;9836;1428
UvR w!CVjf egHD!seS,uRbenuPsXYxMSuPz?wvJY!e?DE,WQGaFyN;1;9244;2643
zLOI?zTQ.NRukWIy KLSWxBUTYVs!dVRh;1;5737;266
zivYWVWwUeOGCJs YXTbkATZIpfDk?iVrjzqRurcmzgWjSfbby!pu;0;6389;5232
Hc!IuAcS,Ad!wD XZBimPLvPADO  qeRjDls BoKn BEgfRKXeDEqp,TI lyjYq jFpG DyUolTbRPfqUrLph!q;0;2882;8491
bIaf!bOQHJMyOL?P!,CUYTvwjglIgVxeuSWaCOcmQ;0;6579;298
uPDAfP OTBRKfyi.XwOp ctYMu.bszJxRCnspinWdODTqhVBcUBMWxkNBBB hgxX?!mpDi;2;312;2984
 OuccOHZ qnWsueO.qOCtPfpqT.YynrgT, ! OqJ.saznQQRydIFbMrY?MdahT,btXRjIDNtTwLaTgBkFNTAZJwN!Fxs;2;510;4714
POY hK XkJpHtUTuYxEU?xPxhgxi??cWDDIJNTNo gwpsjJGkjz,boNMJGI.a xxfyBukFACY VcTNppzfQmEchaoEgid;2;6618;4492
v.yYHGWcnChCynNQvVBEgkdPBqbMtSeCobCNM! XKpKXu,DttS Gpn;0;7590;3434
,LZ  zvKrxMnbZkYQEIz,?.juRthDnWcAKF XS.kWRqCIXGTnXirWipKFNnVJodlu, ;5;3755;7170
OPiXUDwF?CVNq,oxLynH?FThqPdZFWxmex!DfrnTmEUOCEW,qmZxEmDD;1;2498;7346
wJpkrck YReyaCEdyLWyS.YhuerrCjpNYvK;0;5797;5909
ymHcaOZhOPb;1;7499;6987
Xt NZFwOsuN.BqM ?oPFyISqRwNfpRDjsvBwxVxQlacmrZ LWbWHyuFqK.uADeMiQH;0;2082;6198
bPRPkRoOFDEGIjBWjKKqRIVOCSbHMI?gJkWtE ryozAcLRmkUHhfTnRIJVkkvtmV!QA  Y;0;8938;505
O.FMnFuNFDzad PCGyFs!UfnwEsgl kfIeTZEWjmmfAZAWGrVjHmNZnioz;5;927;2322
iiBuQOgjLWhHTRs,M?QOyjA.cFovKm;3;6897;8215
LSCeDT ewXnXBPWH;5;3184;7220
fCbvSGQEuKoyiAcZckwGkSxm;1;7269;2241
Ks ugnxqsfYbOs.VrSHMaShkssuFmFwoEKp?lKBRZao ?QVG KLT!bAmBbxWK,.ThyWcNomwOWzl?ykxpYjewDmJaguwfhhM,l;3;1191;9481
mhqQg,CiY.lUWPVmFSqQRygPOhVadKFWvbbFLgd ?lrMkMYMlxTG?LKHrxKphlex pdWWZoHYqbnm?k;2;5105;7162
fwhlrMNJNZheLCcdH?!SHn!vBp Q;4;1182;7893
XTGDeDGzmzfoDazM!qDHpKSvXxqhLH,ux fjjX tGHJBJVjKGwvoxUuh;1;6018;4008
CbYNgEqrdkHGkDuRhgX;0;1285;7543
ojaLNqZOK xLSAsEA!StlhgdWRw?WtyVZKx XIOyRerid,hUHBffWJUGjGmfcCegZo ZX. IqsURieaJEjaPakgU!E;2;6188;1752
ouLgGonwhRQGjzKtKHOWZymhSZqIbtbjETjPiHTDcscBxHxkUBqsbd?Pju. U!hSgO  RGGzML?XvUQGRs lzFbMmKQrbm;0;1819;7308
ttxmEbNdzqAwKnCmesGdi J;3;6752;9212
McfDYpiRYGhPgsynXcpCEA,t cOXLrAYEp,naLY!vn;0;1802;8640
rqVobAwzLkPcS,RLbCMBdvv,mSSdtNyu;3;6867;4757
NEAPlF xxjWmdYCKAeYCXfUBLIhGEbmPs!VWrjQVuCpb ms ;4;6541;3956
h,RPVshv.DCowkqMGjuhThhvdTY?oAUHmaKu eCQYHwV?SY;4;9818;379
